time,open,high,low,close,volume
2023-08-09 15:45:00,1930.177,1930.177,1925.13,1925.602,0.0
2023-08-09 16:00:00,1925.59,1927.855,1925.505,1927.575,0.0
2023-08-09 16:15:00,1927.592,1929.128,1926.812,1928.98,0.0
2023-08-09 16:30:00,1928.932,1930.014,1928.378,1929.46,0.0
2023-08-09 16:45:00,1929.452,1929.967,1928.932,1929.837,0.0
2023-08-09 17:00:00,1929.806,1933.587,1929.505,1933.587,0.0
2023-08-09 17:15:00,1933.604,1934.123,1933.58,1933.731,0.0
2023-08-09 17:30:00,1933.731,1934.921,1933.731,1934.781,0.0
2023-08-09 17:45:00,1934.768,1935.197,1934.377,1934.59,0.0
2023-08-09 18:00:00,1934.59,1937.338,1934.232,1937.338,0.0
2023-08-09 18:15:00,1937.357,1939.393,1937.357,1939.237,0.0
2023-08-09 18:30:00,1939.23,1940.243,1938.212,1938.269,0.0
2023-08-09 18:45:00,1938.262,1938.694,1937.267,1937.286,0.0
2023-08-09 19:00:00,1937.253,1937.364,1933.986,1934.217,0.0
2023-08-09 19:15:00,1934.219,1936.076,1933.572,1935.525,0.0
2023-08-09 19:30:00,1935.536,1936.098,1934.029,1934.047,0.0
2023-08-09 19:45:00,1934.011,1934.011,1929.089,1930.447,0.0
2023-08-10 13:30:00,1933.983,1939.79,1933.983,1939.79,0.0
2023-08-10 13:45:00,1939.944,1946.243,1939.944,1946.212,0.0
2023-08-10 14:00:00,1946.262,1952.39,1946.262,1952.285,0.0
2023-08-10 14:15:00,1952.289,1953.142,1948.496,1948.501,0.0
2023-08-10 14:30:00,1948.502,1948.56,1939.843,1939.843,0.0
2023-08-10 14:45:00,1939.865,1939.865,1936.58,1937.825,0.0
2023-08-10 15:00:00,1937.246,1937.246,1933.851,1936.643,0.0
2023-08-10 15:15:00,1936.617,1936.617,1934.931,1936.438,0.0
2023-08-10 15:30:00,1936.469,1938.145,1935.194,1935.204,0.0
2023-08-10 15:45:00,1935.236,1935.236,1929.308,1931.495,0.0
2023-08-10 16:00:00,1931.539,1932.193,1929.758,1930.197,0.0
2023-08-10 16:15:00,1930.197,1930.197,1926.103,1926.868,0.0
2023-08-10 16:30:00,1926.941,1929.176,1926.932,1929.094,0.0
2023-08-10 16:45:00,1929.209,1930.371,1924.088,1924.171,0.0
2023-08-10 17:00:00,1924.205,1924.958,1923.595,1924.171,0.0
2023-08-10 17:15:00,1924.172,1924.351,1920.023,1920.061,0.0
2023-08-10 17:30:00,1920.059,1920.059,1917.067,1917.5,0.0
2023-08-10 17:45:00,1917.533,1920.666,1916.615,1916.712,0.0
