time,open,high,low,close,volume
2023-08-21 18:35:00,1855.15,1855.765,1855.15,1855.765,0.0
2023-08-21 18:40:00,1855.754,1856.406,1855.754,1856.323,0.0
2023-08-21 18:45:00,1856.304,1857.214,1856.176,1857.214,0.0
2023-08-21 18:50:00,1857.223,1857.247,1856.988,1857.024,0.0
2023-08-21 18:55:00,1857.024,1857.056,1856.791,1856.97,0.0
2023-08-21 19:00:00,1856.969,1858.044,1856.969,1858.037,0.0
2023-08-21 19:05:00,1858.042,1858.576,1858.033,1858.576,0.0
2023-08-21 19:10:00,1858.588,1858.919,1858.482,1858.919,0.0
2023-08-21 19:15:00,1858.923,1859.601,1858.923,1859.517,0.0
2023-08-21 19:20:00,1859.494,1860.108,1859.201,1860.077,0.0
2023-08-21 19:25:00,1860.09,1860.235,1859.695,1859.695,0.0
2023-08-21 19:30:00,1859.686,1859.767,1859.34,1859.757,0.0
2023-08-21 19:35:00,1859.757,1860.253,1859.757,1860.184,0.0
2023-08-21 19:40:00,1860.161,1860.986,1860.152,1860.604,0.0
2023-08-21 19:45:00,1860.591,1860.591,1859.541,1859.594,0.0
2023-08-21 19:50:00,1859.537,1859.537,1857.637,1857.687,0.0
2023-08-21 19:55:00,1857.658,1857.658,1855.35,1856.15,0.0
2023-08-22 13:30:00,1859.999,1864.423,1859.999,1864.423,0.0
2023-08-22 13:35:00,1864.505,1866.191,1864.505,1865.952,0.0
2023-08-22 13:40:00,1865.856,1865.856,1863.085,1863.784,0.0
2023-08-22 13:45:00,1863.772,1863.96,1861.794,1861.827,0.0
2023-08-22 13:50:00,1861.835,1861.835,1856.885,1856.885,0.0
2023-08-22 13:55:00,1856.834,1856.834,1855.208,1855.271,0.0
2023-08-22 14:00:00,1855.214,1855.468,1854.556,1855.44,0.0
2023-08-22 14:05:00,1855.464,1855.63,1852.841,1852.841,0.0
2023-08-22 14:10:00,1852.755,1853.986,1852.438,1853.58,0.0
2023-08-22 14:15:00,1853.551,1854.977,1853.497,1854.977,0.0
2023-08-22 14:20:00,1855.021,1855.553,1852.687,1852.687,0.0
2023-08-22 14:25:00,1852.644,1852.797,1852.271,1852.797,0.0
2023-08-22 14:30:00,1852.82,1852.864,1850.713,1850.849,0.0
2023-08-22 14:35:00,1850.83,1852.738,1850.815,1852.738,0.0
2023-08-22 14:40:00,1852.724,1852.811,1852.278,1852.557,0.0
2023-08-22 14:45:00,1852.54,1852.658,1852.174,1852.501,0.0
2023-08-22 14:50:00,1852.526,1853.82,1852.503,1853.82,0.0
2023-08-22 14:55:00,1853.855,1854.288,1853.801,1854.014,0.0
2023-08-22 15:00:00,1854.167,1854.177,1853.241,1853.241,0.0
2023-08-22 15:05:00,1853.217,1853.217,1851.973,1851.973,0.0
2023-08-22 15:10:00,1851.972,1852.829,1851.615,1852.596,0.0
2023-08-22 15:15:00,1852.459,1852.459,1851.372,1851.917,0.0
2023-08-22 15:20:00,1851.904,1852.564,1851.879,1852.495,0.0
2023-08-22 15:25:00,1852.503,1853.686,1852.503,1853.5,0.0
2023-08-22 15:30:00,1853.468,1853.662,1853.041,1853.662,0.0
2023-08-22 15:35:00,1853.672,1854.809,1853.672,1854.253,0.0
