symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-21 15:00:00,1855.73,1856.68,1844.13,1846.93,12814.0
IC MARKETS:10012,2023-08-21 16:00:00,1846.88,1851.18,1845.58,1850.38,9632.0
IC MARKETS:10012,2023-08-21 17:00:00,1850.33,1855.93,1848.63,1854.38,8080.0
IC MARKETS:10012,2023-08-21 18:00:00,1854.43,1858.03,1853.83,1856.78,7128.0
IC MARKETS:10012,2023-08-21 19:00:00,1856.88,1861.33,1855.68,1856.88,7306.0
IC MARKETS:10012,2023-08-21 20:00:00,1856.93,1856.93,1855.18,1856.08,1744.0
IC MARKETS:10012,2023-08-21 22:00:00,1855.94,1856.04,1853.94,1854.24,832.0
IC MARKETS:10012,2023-08-21 23:00:00,1854.34,1856.64,1854.24,1854.99,916.0
IC MARKETS:10012,2023-08-22 00:00:00,1854.94,1855.49,1852.74,1855.44,1976.0
IC MARKETS:10012,2023-08-22 01:00:00,1855.49,1856.84,1853.19,1854.94,2760.0
IC MARKETS:10012,2023-08-22 02:00:00,1854.99,1857.14,1854.64,1855.84,1946.0
IC MARKETS:10012,2023-08-22 03:00:00,1855.94,1857.39,1855.59,1856.54,1518.0
IC MARKETS:10012,2023-08-22 04:00:00,1856.59,1856.59,1855.54,1855.64,878.0
IC MARKETS:10012,2023-08-22 05:00:00,1855.69,1856.69,1854.39,1855.94,1876.0
IC MARKETS:10012,2023-08-22 06:00:00,1855.84,1859.85,1854.79,1859.25,2388.0
IC MARKETS:10012,2023-08-22 07:00:00,1859.2,1863.9,1857.3,1862.8,4482.0
IC MARKETS:10012,2023-08-22 08:00:00,1862.9,1863.5,1861.0,1863.4,3514.0
IC MARKETS:10012,2023-08-22 09:00:00,1863.45,1865.7,1862.3,1864.85,3178.0
IC MARKETS:10012,2023-08-22 10:00:00,1864.8,1866.9,1864.8,1865.95,2480.0
IC MARKETS:10012,2023-08-22 11:00:00,1865.8,1868.35,1865.05,1868.0,2710.0
IC MARKETS:10012,2023-08-22 12:00:00,1867.95,1870.25,1864.25,1864.25,3452.0
IC MARKETS:10012,2023-08-22 13:00:00,1864.1,1869.44,1852.34,1853.24,11934.0
IC MARKETS:10012,2023-08-22 14:00:00,1853.29,1856.64,1848.59,1853.99,15290.0
IC MARKETS:10012,2023-08-22 15:00:00,1854.04,1856.04,1849.54,1851.99,11446.0
IC MARKETS:10012,2023-08-22 16:00:00,1851.79,1852.34,1846.14,1850.04,9164.0
IC MARKETS:10012,2023-08-22 17:00:00,1849.99,1850.64,1845.59,1849.54,9886.0
IC MARKETS:10012,2023-08-22 18:00:00,1849.49,1855.04,1847.74,1853.89,8182.0
IC MARKETS:10012,2023-08-22 19:00:00,1853.84,1857.84,1850.54,1851.99,9468.0
IC MARKETS:10012,2023-08-22 20:00:00,1852.09,1852.79,1851.19,1852.69,1700.0
IC MARKETS:10012,2023-08-22 22:00:00,1853.15,1854.65,1853.1,1854.25,812.0
IC MARKETS:10012,2023-08-22 23:00:00,1854.3,1854.6,1853.05,1853.7,730.0
IC MARKETS:10012,2023-08-23 00:00:00,1853.65,1856.4,1853.35,1856.4,1932.0
IC MARKETS:10012,2023-08-23 01:00:00,1856.35,1859.0,1855.9,1858.65,2270.0
IC MARKETS:10012,2023-08-23 02:00:00,1858.75,1859.6,1857.9,1858.55,1718.0
IC MARKETS:10012,2023-08-23 03:00:00,1858.45,1859.3,1857.85,1858.5,1320.0
IC MARKETS:10012,2023-08-23 04:00:00,1858.55,1859.05,1857.8,1858.85,936.0
IC MARKETS:10012,2023-08-23 05:00:00,1858.8,1860.65,1858.0,1860.3,1620.0
IC MARKETS:10012,2023-08-23 06:00:00,1860.2,1861.16,1859.16,1859.81,2302.0
IC MARKETS:10012,2023-08-23 07:00:00,1859.96,1863.96,1858.86,1860.01,5028.0
IC MARKETS:10012,2023-08-23 08:00:00,1860.16,1864.31,1859.91,1862.31,3522.0
IC MARKETS:10012,2023-08-23 09:00:00,1862.41,1863.21,1859.41,1861.21,2642.0
IC MARKETS:10012,2023-08-23 10:00:00,1861.16,1861.91,1854.86,1856.01,3140.0
IC MARKETS:10012,2023-08-23 11:00:00,1856.21,1856.71,1853.51,1856.26,4460.0
IC MARKETS:10012,2023-08-23 12:00:00,1856.21,1856.41,1850.21,1851.56,4180.0
IC MARKETS:10012,2023-08-23 13:00:00,1851.46,1859.05,1847.75,1856.7,12554.0
IC MARKETS:10012,2023-08-23 14:00:00,1856.8,1865.15,1856.3,1864.75,13134.0
IC MARKETS:10012,2023-08-23 15:00:00,1864.8,1871.45,1863.75,1869.9,9024.0
IC MARKETS:10012,2023-08-23 16:00:00,1869.85,1873.45,1868.45,1870.8,6544.0
IC MARKETS:10012,2023-08-23 17:00:00,1870.75,1875.0,1870.4,1873.8,5918.0
IC MARKETS:10012,2023-08-23 18:00:00,1873.75,1874.15,1870.85,1872.05,6196.0
IC MARKETS:10012,2023-08-23 19:00:00,1872.1,1873.65,1869.05,1870.7,7100.0
IC MARKETS:10012,2023-08-23 20:00:00,1870.8,1874.0,1867.65,1873.25,6010.0
IC MARKETS:10012,2023-08-23 22:00:00,1874.31,1874.31,1870.01,1872.11,1724.0
IC MARKETS:10012,2023-08-23 23:00:00,1872.26,1873.01,1871.01,1871.76,930.0
IC MARKETS:10012,2023-08-24 00:00:00,1871.86,1873.76,1871.41,1872.91,2360.0
IC MARKETS:10012,2023-08-24 01:00:00,1872.81,1873.21,1871.46,1871.81,2566.0
IC MARKETS:10012,2023-08-24 02:00:00,1871.86,1875.01,1871.76,1874.96,1772.0
IC MARKETS:10012,2023-08-24 03:00:00,1875.01,1876.41,1874.41,1874.71,1484.0
IC MARKETS:10012,2023-08-24 04:00:00,1874.66,1876.81,1873.96,1876.76,1078.0
IC MARKETS:10012,2023-08-24 05:00:00,1876.91,1877.56,1875.96,1876.81,1938.0
IC MARKETS:10012,2023-08-24 06:00:00,1876.76,1877.06,1874.12,1874.72,2666.0
IC MARKETS:10012,2023-08-24 07:00:00,1874.82,1879.37,1871.47,1873.07,5714.0
IC MARKETS:10012,2023-08-24 08:00:00,1873.22,1875.82,1870.42,1870.62,4092.0
IC MARKETS:10012,2023-08-24 09:00:00,1870.52,1871.62,1864.57,1864.67,4146.0
