symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-21 15:15:00,1851.93,1852.03,1847.13,1847.73,3316.0
IC MARKETS:10012,2023-08-21 15:30:00,1847.63,1849.88,1844.63,1844.83,3192.0
IC MARKETS:10012,2023-08-21 15:45:00,1844.63,1846.93,1844.13,1846.93,2824.0
IC MARKETS:10012,2023-08-21 16:00:00,1846.88,1847.83,1845.58,1847.23,2528.0
IC MARKETS:10012,2023-08-21 16:15:00,1847.28,1851.18,1846.43,1850.23,2630.0
IC MARKETS:10012,2023-08-21 16:30:00,1850.28,1850.43,1847.53,1848.93,2314.0
IC MARKETS:10012,2023-08-21 16:45:00,1848.88,1850.78,1847.83,1850.38,2160.0
IC MARKETS:10012,2023-08-21 17:00:00,1850.33,1851.38,1848.63,1849.88,2012.0
IC MARKETS:10012,2023-08-21 17:15:00,1849.83,1853.93,1849.73,1853.03,2060.0
IC MARKETS:10012,2023-08-21 17:30:00,1853.13,1855.13,1852.83,1854.93,1836.0
IC MARKETS:10012,2023-08-21 17:45:00,1855.03,1855.93,1853.23,1854.38,2172.0
IC MARKETS:10012,2023-08-21 18:00:00,1854.43,1856.93,1853.83,1856.93,1896.0
IC MARKETS:10012,2023-08-21 18:15:00,1857.03,1857.43,1854.13,1855.13,1722.0
IC MARKETS:10012,2023-08-21 18:30:00,1855.23,1856.93,1854.53,1856.03,1814.0
IC MARKETS:10012,2023-08-21 18:45:00,1856.08,1858.03,1855.68,1856.78,1696.0
IC MARKETS:10012,2023-08-21 19:00:00,1856.88,1859.33,1856.88,1859.03,1664.0
IC MARKETS:10012,2023-08-21 19:15:00,1858.98,1860.83,1858.83,1859.53,1614.0
IC MARKETS:10012,2023-08-21 19:30:00,1859.43,1861.33,1859.03,1860.13,1682.0
IC MARKETS:10012,2023-08-21 19:45:00,1860.23,1860.43,1855.68,1856.88,2346.0
IC MARKETS:10012,2023-08-21 20:00:00,1856.93,1856.93,1855.18,1855.58,924.0
IC MARKETS:10012,2023-08-21 20:15:00,1855.68,1855.98,1855.43,1855.48,256.0
IC MARKETS:10012,2023-08-21 20:30:00,1855.53,1855.88,1855.48,1855.78,220.0
IC MARKETS:10012,2023-08-21 20:45:00,1855.68,1856.33,1855.38,1856.08,344.0
