symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-29 17:15:00,1894.98,1895.13,1894.18,1894.98,514.0
IC MARKETS:10012,2023-08-29 17:20:00,1895.03,1896.23,1894.48,1896.23,456.0
IC MARKETS:10012,2023-08-29 17:25:00,1896.28,1896.68,1895.68,1896.68,426.0
IC MARKETS:10012,2023-08-29 17:30:00,1896.73,1896.93,1895.88,1896.58,388.0
IC MARKETS:10012,2023-08-29 17:35:00,1896.48,1897.68,1896.38,1897.68,488.0
IC MARKETS:10012,2023-08-29 17:40:00,1897.48,1897.78,1896.78,1897.48,328.0
IC MARKETS:10012,2023-08-29 17:45:00,1897.38,1897.68,1897.18,1897.68,310.0
IC MARKETS:10012,2023-08-29 17:50:00,1897.63,1897.88,1896.08,1896.78,466.0
IC MARKETS:10012,2023-08-29 17:55:00,1896.48,1896.98,1895.03,1896.68,564.0
IC MARKETS:10012,2023-08-29 18:00:00,1896.83,1897.48,1895.98,1896.68,370.0
IC MARKETS:10012,2023-08-29 18:05:00,1896.58,1896.88,1895.93,1896.78,354.0
IC MARKETS:10012,2023-08-29 18:10:00,1896.68,1896.98,1896.08,1896.38,506.0
IC MARKETS:10012,2023-08-29 18:15:00,1896.28,1896.78,1895.63,1896.78,392.0
IC MARKETS:10012,2023-08-29 18:20:00,1896.88,1897.58,1896.18,1896.33,450.0
IC MARKETS:10012,2023-08-29 18:25:00,1896.28,1897.38,1895.58,1896.28,428.0
IC MARKETS:10012,2023-08-29 18:30:00,1896.33,1896.78,1895.88,1896.68,456.0
IC MARKETS:10012,2023-08-29 18:35:00,1896.78,1897.48,1895.98,1896.13,482.0
IC MARKETS:10012,2023-08-29 18:40:00,1896.18,1896.88,1895.98,1896.78,466.0
IC MARKETS:10012,2023-08-29 18:45:00,1896.73,1896.98,1895.78,1896.43,544.0
IC MARKETS:10012,2023-08-29 18:50:00,1896.38,1896.58,1895.33,1895.58,532.0
IC MARKETS:10012,2023-08-29 18:55:00,1895.53,1896.03,1894.88,1895.63,504.0
IC MARKETS:10012,2023-08-29 19:00:00,1895.58,1895.58,1893.38,1894.23,660.0
IC MARKETS:10012,2023-08-29 19:05:00,1894.18,1894.68,1893.38,1893.68,514.0
IC MARKETS:10012,2023-08-29 19:10:00,1893.73,1894.68,1893.18,1894.48,496.0
IC MARKETS:10012,2023-08-29 19:15:00,1894.38,1895.13,1893.68,1894.93,574.0
IC MARKETS:10012,2023-08-29 19:20:00,1894.98,1895.18,1894.28,1894.98,608.0
IC MARKETS:10012,2023-08-29 19:25:00,1895.03,1895.93,1894.88,1895.58,616.0
IC MARKETS:10012,2023-08-29 19:30:00,1895.48,1895.53,1894.38,1894.48,568.0
IC MARKETS:10012,2023-08-29 19:35:00,1894.43,1895.08,1894.33,1894.38,450.0
IC MARKETS:10012,2023-08-29 19:40:00,1894.48,1895.73,1894.23,1895.58,494.0
IC MARKETS:10012,2023-08-29 19:45:00,1895.48,1896.58,1893.88,1894.23,668.0
IC MARKETS:10012,2023-08-29 19:50:00,1894.33,1895.28,1893.83,1894.88,780.0
IC MARKETS:10012,2023-08-29 19:55:00,1894.98,1896.23,1894.23,1895.43,796.0
IC MARKETS:10012,2023-08-29 20:00:00,1895.33,1896.23,1895.03,1895.38,568.0
IC MARKETS:10012,2023-08-29 20:05:00,1895.53,1896.08,1895.13,1896.08,228.0
IC MARKETS:10012,2023-08-29 20:10:00,1895.98,1896.03,1895.08,1895.53,308.0
IC MARKETS:10012,2023-08-29 20:15:00,1895.43,1896.68,1895.43,1896.38,158.0
IC MARKETS:10012,2023-08-29 20:20:00,1896.43,1896.48,1895.93,1895.98,126.0
IC MARKETS:10012,2023-08-29 20:25:00,1896.03,1896.28,1895.93,1896.03,118.0
IC MARKETS:10012,2023-08-29 20:30:00,1896.13,1896.43,1895.63,1895.63,78.0
IC MARKETS:10012,2023-08-29 20:35:00,1895.58,1895.83,1895.53,1895.83,30.0
IC MARKETS:10012,2023-08-29 20:40:00,1895.88,1895.93,1895.63,1895.68,94.0
IC MARKETS:10012,2023-08-29 20:45:00,1895.63,1895.78,1895.48,1895.58,80.0
IC MARKETS:10012,2023-08-29 20:50:00,1895.63,1895.78,1895.48,1895.73,74.0
IC MARKETS:10012,2023-08-29 20:55:00,1895.53,1895.73,1895.43,1895.53,36.0
IC MARKETS:10012,2023-08-29 22:00:00,1895.73,1896.38,1895.28,1895.83,186.0
IC MARKETS:10012,2023-08-29 22:05:00,1895.78,1896.88,1895.68,1896.83,152.0
IC MARKETS:10012,2023-08-29 22:10:00,1896.88,1896.88,1896.43,1896.73,84.0
IC MARKETS:10012,2023-08-29 22:15:00,1896.88,1896.98,1896.58,1896.83,68.0
IC MARKETS:10012,2023-08-29 22:20:00,1896.78,1897.13,1896.68,1897.08,86.0
IC MARKETS:10012,2023-08-29 22:25:00,1897.13,1897.23,1896.93,1897.18,48.0
IC MARKETS:10012,2023-08-29 22:30:00,1897.13,1897.28,1897.08,1897.23,34.0
IC MARKETS:10012,2023-08-29 22:35:00,1897.28,1897.33,1896.83,1896.83,46.0
IC MARKETS:10012,2023-08-29 22:40:00,1896.88,1896.88,1896.33,1896.48,56.0
IC MARKETS:10012,2023-08-29 22:45:00,1896.58,1896.63,1896.23,1896.38,90.0
IC MARKETS:10012,2023-08-29 22:50:00,1896.43,1896.48,1896.08,1896.13,44.0
IC MARKETS:10012,2023-08-29 22:55:00,1896.08,1896.38,1896.03,1896.28,76.0
IC MARKETS:10012,2023-08-29 23:00:00,1896.33,1896.43,1896.08,1896.38,80.0
IC MARKETS:10012,2023-08-29 23:05:00,1896.33,1896.48,1896.28,1896.43,60.0
IC MARKETS:10012,2023-08-29 23:10:00,1896.38,1896.43,1896.23,1896.28,48.0
IC MARKETS:10012,2023-08-29 23:15:00,1896.23,1896.23,1895.83,1896.23,50.0
IC MARKETS:10012,2023-08-29 23:20:00,1896.18,1896.23,1895.88,1895.88,52.0
IC MARKETS:10012,2023-08-29 23:25:00,1895.93,1895.93,1895.58,1895.78,34.0
IC MARKETS:10012,2023-08-29 23:30:00,1895.83,1895.98,1895.68,1895.68,82.0
IC MARKETS:10012,2023-08-29 23:35:00,1895.73,1895.83,1895.63,1895.68,54.0
IC MARKETS:10012,2023-08-29 23:40:00,1895.73,1895.93,1895.68,1895.78,76.0
IC MARKETS:10012,2023-08-29 23:45:00,1895.83,1895.83,1895.43,1895.53,104.0
IC MARKETS:10012,2023-08-29 23:50:00,1895.58,1895.68,1895.33,1895.53,94.0
IC MARKETS:10012,2023-08-29 23:55:00,1895.63,1895.78,1895.58,1895.63,90.0
IC MARKETS:10012,2023-08-30 00:00:00,1895.58,1895.93,1895.43,1895.48,254.0
IC MARKETS:10012,2023-08-30 00:05:00,1895.58,1895.78,1895.43,1895.68,126.0
IC MARKETS:10012,2023-08-30 00:10:00,1895.73,1896.33,1895.68,1895.93,90.0
IC MARKETS:10012,2023-08-30 00:15:00,1896.03,1896.28,1895.88,1896.28,158.0
IC MARKETS:10012,2023-08-30 00:20:00,1896.33,1897.08,1896.28,1896.88,220.0
IC MARKETS:10012,2023-08-30 00:25:00,1896.83,1896.93,1896.48,1896.63,164.0
